Order_ID,Order_Date,Year,Quarter,Customer_Name,Customer_Segment,State,Region,Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Status
ORD-1001,20-01-2023,2023,Q1,Kinetic Energy Corp,Enterprise,Texas,South,Hardware,"ProBook Ultra 16"" Laptop",1,1850,1850,1300,550,Completed
ORD-1002,30-01-2023,2023,Q1,Elevate Retail Group,Enterprise,Washington,West,Software,Cloud Security Pro,3,120,360,75,285,Completed
ORD-1003,15-02-2023,2023,Q1,Studio Core Media,Mid-Market,Texas,South,Software,Team Productivity Suite,7,450,3150,630,2520,Completed
ORD-1004,18-02-2023,2023,Q1,Matrix Robotics,Mid-Market,Colorado,West,Software,Cloud Security Pro,5,120,600,125,475,Cancelled
ORD-1005,18-02-2023,2023,Q1,Horizon Global Tech,Enterprise,Illinois,Central,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1006,27-02-2023,2023,Q1,Apex Innovations Ltd,Enterprise,Florida,South,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1007,22-03-2023,2023,Q1,Pulse Marketing,Mid-Market,New York,East,Office Gear,Premium Mesh Ergo Chair,3,420,1260,690,570,Completed
ORD-1008,04-04-2023,2023,Q2,Zenith Cloud Corp,Enterprise,Washington,West,Software,Enterprise Analytics Cloud,3,2400,7200,1800,5400,Completed
ORD-1009,06-04-2023,2023,Q2,Elevate Retail Group,Enterprise,Florida,South,Software,Cloud Security Pro,9,120,1080,225,855,Completed
ORD-1010,19-04-2023,2023,Q2,Vanguard Legal,Enterprise,California,West,Office Gear,Premium Mesh Ergo Chair,11,420,4620,2530,2090,Completed
ORD-1011,21-04-2023,2023,Q2,CloudScale Inc,SMB,California,West,Hardware,"ProBook Ultra 16"" Laptop",1,1850,1850,1300,550,Completed
ORD-1012,07-05-2023,2023,Q2,Elevate Retail Group,Enterprise,Washington,West,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1013,15-05-2023,2023,Q2,Apex Innovations Ltd,Enterprise,North Carolina,East,Software,Team Productivity Suite,10,450,4500,900,3600,Completed
ORD-1014,15-05-2023,2023,Q2,Elevate Retail Group,Enterprise,California,West,Software,Cloud Security Pro,6,120,720,150,570,Completed
ORD-1015,27-05-2023,2023,Q2,Studio Core Media,Mid-Market,Illinois,Central,Accessories,Wireless Noise-Cancelling Headset,8,180,1440,640,800,Completed
ORD-1016,02-06-2023,2023,Q2,Quantum Digital,SMB,Washington,West,Accessories,Wireless Noise-Cancelling Headset,1,180,180,80,100,Completed
ORD-1017,02-06-2023,2023,Q2,Vanguard Legal,Enterprise,New York,East,Software,Enterprise Analytics Cloud,5,2400,12000,3000,9000,Completed
ORD-1018,03-06-2023,2023,Q2,Elevate Retail Group,Enterprise,New York,East,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1019,07-06-2023,2023,Q2,Quantum Digital,SMB,New York,East,Software,Cloud Security Pro,4,120,480,100,380,Completed
ORD-1020,10-06-2023,2023,Q2,Horizon Global Tech,Enterprise,California,West,Hardware,"ProBook Ultra 16"" Laptop",5,1850,9250,6500,2750,Completed
ORD-1021,12-06-2023,2023,Q2,Alpha BioLabs,SMB,Washington,West,Accessories,Precision Ergonomic Mouse,1,65,65,28,37,Completed
ORD-1022,25-06-2023,2023,Q2,Nexa Logistics,Mid-Market,Georgia,South,Office Gear,Premium Mesh Ergo Chair,5,420,2100,1150,950,Completed
ORD-1023,26-06-2023,2023,Q2,Kinetic Energy Corp,Enterprise,New York,East,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1024,02-07-2023,2023,Q3,Pulse Marketing,Mid-Market,Texas,South,Accessories,Mechanical Custom Keyboard,2,135,270,120,150,Completed
ORD-1025,03-07-2023,2023,Q3,Elevate Retail Group,Enterprise,Washington,West,Hardware,"34"" Curved 4K Monitor",7,750,5250,3360,1890,Completed
ORD-1026,03-07-2023,2023,Q3,Apex Innovations Ltd,Enterprise,Colorado,West,Office Gear,Premium Mesh Ergo Chair,8,420,3360,1840,1520,Completed
ORD-1027,04-07-2023,2023,Q3,Vertex Architecture,SMB,California,West,Accessories,Mechanical Custom Keyboard,2,135,270,120,150,Completed
ORD-1028,06-07-2023,2023,Q3,Pulse Marketing,Mid-Market,Washington,West,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1029,06-07-2023,2023,Q3,Alpha BioLabs,SMB,Texas,South,Software,Cloud Security Pro,2,120,240,50,190,Completed
ORD-1030,10-07-2023,2023,Q3,Alpha BioLabs,SMB,North Carolina,East,Accessories,Precision Ergonomic Mouse,2,65,130,56,74,Completed
ORD-1031,12-07-2023,2023,Q3,Alpha BioLabs,SMB,New York,East,Office Gear,ErgoMax Standing Desk,1,650,650,360,290,Completed
ORD-1032,18-07-2023,2023,Q3,Nexa Logistics,Mid-Market,Massachusetts,East,Office Gear,ErgoMax Standing Desk,5,650,3250,1800,1450,Completed
ORD-1033,31-07-2023,2023,Q3,Horizon Global Tech,Enterprise,Washington,West,Hardware,Thunderbolt 4 Quad Dock,10,280,2800,1600,1200,Completed
ORD-1034,03-08-2023,2023,Q3,Matrix Robotics,Mid-Market,California,West,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1035,04-08-2023,2023,Q3,Nova Dynamics,Mid-Market,Washington,West,Software,Team Productivity Suite,8,450,3600,720,2880,Completed
ORD-1036,05-08-2023,2023,Q3,Kinetic Energy Corp,Enterprise,Florida,South,Hardware,"ProBook Ultra 16"" Laptop",5,1850,9250,6500,2750,Completed
ORD-1037,15-08-2023,2023,Q3,Matrix Robotics,Mid-Market,New York,East,Hardware,"34"" Curved 4K Monitor",5,750,3750,2400,1350,Completed
ORD-1038,16-08-2023,2023,Q3,Zenith Cloud Corp,Enterprise,New York,East,Software,Enterprise Analytics Cloud,2,2400,4800,1200,3600,Completed
ORD-1039,17-08-2023,2023,Q3,CloudScale Inc,SMB,California,West,Accessories,Precision Ergonomic Mouse,1,65,65,28,37,Completed
ORD-1040,18-08-2023,2023,Q3,Nexa Logistics,Mid-Market,California,West,Hardware,"ProBook Ultra 16"" Laptop",1,1850,1850,1300,550,Completed
ORD-1041,19-08-2023,2023,Q3,Alpha BioLabs,SMB,New York,East,Software,Cloud Security Pro,2,120,240,50,190,Completed
ORD-1042,01-09-2023,2023,Q3,Pulse Marketing,Mid-Market,New York,East,Office Gear,Premium Mesh Ergo Chair,7,420,2940,1610,1330,Completed
ORD-1043,05-09-2023,2023,Q3,Vanguard Legal,Enterprise,Texas,South,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1044,06-09-2023,2023,Q3,Kinetic Energy Corp,Enterprise,California,West,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1045,11-09-2023,2023,Q3,Apex Innovations Ltd,Enterprise,Texas,South,Software,Enterprise Analytics Cloud,1,2400,2400,600,1800,Completed
ORD-1046,13-09-2023,2023,Q3,Pulse Marketing,Mid-Market,Texas,South,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1047,14-09-2023,2023,Q3,Studio Core Media,Mid-Market,California,West,Software,Team Productivity Suite,6,450,2700,540,2160,Completed
ORD-1048,15-09-2023,2023,Q3,CloudScale Inc,SMB,California,West,Hardware,"34"" Curved 4K Monitor",2,750,1500,960,540,Completed
ORD-1049,16-09-2023,2023,Q3,BlueWave Systems,Mid-Market,California,West,Office Gear,Premium Mesh Ergo Chair,8,420,3360,1840,1520,Completed
ORD-1050,23-09-2023,2023,Q3,Kinetic Energy Corp,Enterprise,Illinois,Central,Software,Team Productivity Suite,2,450,900,180,720,Completed
ORD-1051,27-09-2023,2023,Q3,Quantum Digital,SMB,Washington,West,Accessories,Precision Ergonomic Mouse,1,65,65,28,37,Completed
ORD-1052,27-09-2023,2023,Q3,Omnia Consulting,SMB,California,West,Accessories,Wireless Noise-Cancelling Headset,2,180,360,160,200,Completed
ORD-1053,07-10-2023,2023,Q4,Horizon Global Tech,Enterprise,Washington,West,Accessories,Mechanical Custom Keyboard,11,135,1485,660,825,Completed
ORD-1054,08-10-2023,2023,Q4,Elevate Retail Group,Enterprise,Illinois,Central,Software,Cloud Security Pro,3,120,360,75,285,Completed
ORD-1055,09-10-2023,2023,Q4,Elevate Retail Group,Enterprise,Georgia,South,Software,Cloud Security Pro,2,120,240,50,190,Completed
ORD-1056,15-10-2023,2023,Q4,BlueWave Systems,Mid-Market,New York,East,Software,Cloud Security Pro,6,120,720,150,570,Completed
ORD-1057,16-10-2023,2023,Q4,Pulse Marketing,Mid-Market,Florida,South,Software,Team Productivity Suite,2,450,900,180,720,Completed
ORD-1058,25-10-2023,2023,Q4,Synergize Partners,SMB,New York,East,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1059,28-10-2023,2023,Q4,Zenith Cloud Corp,Enterprise,Texas,South,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1060,01-11-2023,2023,Q4,Elevate Retail Group,Enterprise,Washington,West,Software,Team Productivity Suite,9,450,4050,810,3240,Completed
ORD-1061,02-11-2023,2023,Q4,BlueWave Systems,Mid-Market,California,West,Software,Enterprise Analytics Cloud,2,2400,4800,1200,3600,Completed
ORD-1062,02-11-2023,2023,Q4,Kinetic Energy Corp,Enterprise,Texas,South,Accessories,Precision Ergonomic Mouse,10,65,650,280,370,Completed
ORD-1063,03-11-2023,2023,Q4,Matrix Robotics,Mid-Market,Florida,South,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1064,05-11-2023,2023,Q4,Studio Core Media,Mid-Market,Washington,West,Accessories,Wireless Noise-Cancelling Headset,2,180,360,160,200,Completed
ORD-1065,09-11-2023,2023,Q4,Kinetic Energy Corp,Enterprise,California,West,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1066,11-11-2023,2023,Q4,Apex Innovations Ltd,Enterprise,Colorado,West,Office Gear,ErgoMax Standing Desk,10,650,6500,3600,2900,Completed
ORD-1067,27-11-2023,2023,Q4,Alpha BioLabs,SMB,California,West,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1068,05-12-2023,2023,Q4,Horizon Global Tech,Enterprise,California,West,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
